identifier,Protein families,Phylum,has_fragment
D2Y234,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y235,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y236,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2E8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2E9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y2F0,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
D2Y237,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
A0A0J9X1W9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P49370,Other,Arthropoda,no
C0HLL5,Other,Arthropoda,no
Q5D7H4,Other,Arthropoda,no
Q08169,Other,Arthropoda,no
P49371,Other,Arthropoda,no
A3QVN5,Other,Chordata,no
I0CME8,Other,Mollusca,yes
I0CME7,Other,Mollusca,no
C0HKM3,Other,Mollusca,no
J3S820,Other,Chordata,no
B3EWP2,Other,Chordata,yes
P86824,,Arthropoda,no
Q5EF78,,Arthropoda,no
Q5BLY4,,Arthropoda,no
B1P1G4,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1G5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1A2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,yes
B1P1G8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0C5X7,Other,Arthropoda,no
B1P1B6,Other,Arthropoda,no
B1P1A9,Other,Arthropoda,no
B1P1C7,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1D5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1D6,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1B4,Other,Arthropoda,no
B1P1B3,Other,Arthropoda,no
B1P1H5,Other,Arthropoda,no
B1P1H6,Other,Arthropoda,no
B1P1H7,Other,Arthropoda,no
B1P1H8,Other,Arthropoda,no
B1P1I0,Other,Arthropoda,no
B1P1H9,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1H1,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B1P1I8,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P86270,Short scorpion toxin superfamily,Arthropoda,no
P0DQU5,Short scorpion toxin superfamily,Arthropoda,no
Q8MUB1,Short scorpion toxin superfamily,Arthropoda,no
P0DJ31,Short scorpion toxin superfamily,Arthropoda,no
P0DJ32,Short scorpion toxin superfamily,Arthropoda,no
P0DP36,Short scorpion toxin superfamily,Arthropoda,no
F1CIY9,Short scorpion toxin superfamily,Arthropoda,no
F1CJ67,Short scorpion toxin superfamily,Arthropoda,no
F1CJ80,Short scorpion toxin superfamily,Arthropoda,no
B8XH30,Short scorpion toxin superfamily,Arthropoda,no
B8XH45,Short scorpion toxin superfamily,Arthropoda,no
B8XH47,Short scorpion toxin superfamily,Arthropoda,no
P0DW84,Short scorpion toxin superfamily,Arthropoda,no
C0HKB2,Short scorpion toxin superfamily,Arthropoda,no
A7KJJ7,Short scorpion toxin superfamily,Arthropoda,no
D9U2B2,Short scorpion toxin superfamily,Arthropoda,no
A0A059UI21,Short scorpion toxin superfamily,Arthropoda,no
P0DL65,Short scorpion toxin superfamily,Arthropoda,no
B8XH44,Short scorpion toxin superfamily,Arthropoda,no
P0CI83,Short scorpion toxin superfamily,Arthropoda,no
P59943,Short scorpion toxin superfamily,Arthropoda,no
P59944,Short scorpion toxin superfamily,Arthropoda,no
H2ETQ6,Short scorpion toxin superfamily,Arthropoda,no
H2ER23,Short scorpion toxin superfamily,Arthropoda,no
C0HJQ8,Short scorpion toxin superfamily,Arthropoda,no
C0HJQ7,Short scorpion toxin superfamily,Arthropoda,no
C0HJS9,Short scorpion toxin superfamily,Arthropoda,no
H2ER22,Short scorpion toxin superfamily,Arthropoda,no
P08815,Short scorpion toxin superfamily,Arthropoda,no
P40755,Short scorpion toxin superfamily,Arthropoda,no
P45629,Short scorpion toxin superfamily,Arthropoda,no
Q9TXD1,Short scorpion toxin superfamily,Arthropoda,no
P59847,Short scorpion toxin superfamily,Arthropoda,no
P59849,Short scorpion toxin superfamily,Arthropoda,yes
P45630,Short scorpion toxin superfamily,Arthropoda,yes
P0C161,Short scorpion toxin superfamily,Arthropoda,no
P0C162,Short scorpion toxin superfamily,Arthropoda,no
C0HM74,Short scorpion toxin superfamily,Arthropoda,yes
P0C163,Short scorpion toxin superfamily,Arthropoda,no
P0C164,Short scorpion toxin superfamily,Arthropoda,no
P0C5F2,,Arthropoda,no
L7X8P2,Other,Arthropoda,no
Q9BPJ1,Other,Mollusca,no
C0HJV8,Other,Arthropoda,no
P0CI94,Other,Arthropoda,no
P0CI95,Other,Arthropoda,no
P84189,Other,Arthropoda,no
P84190,Other,Arthropoda,no
P0DY04,Other,Arthropoda,no
P0CJ15,Other,Arthropoda,no
P0CJ02,Other,Arthropoda,no
D9U2B5,Other,Arthropoda,no
A0A059U8Y9,Other,Arthropoda,no
F6K5S6,Other,Arthropoda,no
D9U2B6,Other,Arthropoda,no
P0CI97,Other,Arthropoda,no
P0DXZ9,Other,Arthropoda,no
P0DY00,Other,Arthropoda,no
P0DY02,Other,Arthropoda,no
P0DXZ8,Other,Arthropoda,no
P0DY03,Other,Arthropoda,no
P0DY01,Other,Arthropoda,no
Q3I5F4,Other,Chordata,no
Q3HXY4,Other,Chordata,no
P0CAR6,,Chordata,yes
P0CB10,Conotoxin O1 superfamily,Mollusca,no
P0CY61,Conotoxin O1 superfamily,Mollusca,no
D6C4K9,Conotoxin O1 superfamily,Mollusca,no
Q5K0B9,Conotoxin O1 superfamily,Mollusca,no
Q3YEG6,Conotoxin O1 superfamily,Mollusca,no
Q2I2R3,Conotoxin O1 superfamily,Mollusca,no
Q3YEE3,Conotoxin O1 superfamily,Mollusca,no
P0DJC7,Conotoxin O1 superfamily,Mollusca,no
Q5K0D8,Conotoxin O1 superfamily,Mollusca,no
P0DW77,Conotoxin O1 superfamily,Mollusca,no
Q9U650,Conotoxin O1 superfamily,Mollusca,no
P0DW74,Conotoxin O1 superfamily,Mollusca,no
Q5K0C9,Conotoxin O1 superfamily,Mollusca,no
P0DTZ3,Conotoxin O1 superfamily,Mollusca,no
Q9U644,Conotoxin O1 superfamily,Mollusca,no
P0DTZ4,Conotoxin O1 superfamily,Mollusca,no
Q3YED5,Conotoxin O1 superfamily,Mollusca,no
P0DTZ5,Conotoxin O1 superfamily,Mollusca,no
P0DTZ6,Conotoxin O1 superfamily,Mollusca,no
Q3YEF1,Conotoxin O1 superfamily,Mollusca,no
Q9TVF7,Conotoxin O1 superfamily,Mollusca,yes
P69755,Conotoxin O1 superfamily,Mollusca,no
P0CH19,,Mollusca,no
Q5K0D6,Conotoxin O1 superfamily,Mollusca,no
P69762,Conotoxin O1 superfamily,Mollusca,no
Q5K0D0,Conotoxin O1 superfamily,Mollusca,no
P69751,Conotoxin O1 superfamily,Mollusca,no
Q9UA91,Conotoxin O1 superfamily,Mollusca,yes
D2Y498,Conotoxin O1 superfamily,Mollusca,yes
P0CC15,Conotoxin O1 superfamily,Mollusca,no
P58920,Conotoxin O1 superfamily,Mollusca,no
Q9TVF6,Conotoxin O1 superfamily,Mollusca,yes
P69756,Conotoxin O1 superfamily,Mollusca,no
P0CH20,,Mollusca,no
Q7Z028,Conotoxin O1 superfamily,Mollusca,no
C7T183,Conotoxin O1 superfamily,Mollusca,yes
C7T1P5,Conotoxin O1 superfamily,Mollusca,yes
Q9UA85,Conotoxin O1 superfamily,Mollusca,yes
P0CY72,Conotoxin O1 superfamily,Mollusca,yes
D2Y499,Conotoxin O1 superfamily,Mollusca,no
P0DPS2,Other,Chordata,yes
Q6WP39,Other,Chordata,no
P0DI84,Other,Chordata,no
P0C2D7,Other,Chordata,yes
P21792,Phospholipase A2 family,Chordata,yes
P86542,Phospholipase A2 family,Chordata,yes
P0DPT9,Phospholipase A2 family,Arthropoda,no
Q2YHJ2,Phospholipase A2 family,Chordata,no
Q2YHJ7,Phospholipase A2 family,Chordata,no
P81458,Phospholipase A2 family,Chordata,no
Q1ZY03,Phospholipase A2 family,Chordata,no
P04417,Phospholipase A2 family,Chordata,no
P18997,Phospholipase A2 family,Chordata,yes
P00610,Phospholipase A2 family,Chordata,no
P19000,Phospholipase A2 family,Chordata,no
Q9I846,Phospholipase A2 family,Chordata,no
Q8AXW7,Phospholipase A2 family,Chordata,no
P14556,Phospholipase A2 family,Chordata,no
P00608,Phospholipase A2 family,Chordata,no
C0HLF7,Phospholipase A2 family,Chordata,yes
P0DJM6,Phospholipase A2 family,Chordata,yes
P0DJM7,Phospholipase A2 family,Chordata,yes
P20252,Phospholipase A2 family,Chordata,no
Q6EER6,Phospholipase A2 family,Chordata,no
A8E2V9,Phospholipase A2 family,Chordata,no
P14420,Phospholipase A2 family,Chordata,no
Q8JFG0,Phospholipase A2 family,Chordata,no
Q7LZG3,Phospholipase A2 family,Chordata,yes
C1JAR9,Phospholipase A2 family,Arthropoda,no
P84736,Phospholipase A2 family,Chordata,yes
I7GQA7,Phospholipase A2 family,Arthropoda,no
P0DXZ6,Phospholipase A2 family,Arthropoda,no
C0HJW4,Short scorpion toxin superfamily,Arthropoda,no
A0A7M6UNN1,Other,Arthropoda,no
A0A6B9L4Z7,Other,Arthropoda,no
A0A6B9KZA1,Other,Arthropoda,no
P69391,,Arthropoda,no
P69392,,Arthropoda,no
I6R1S1,Other,Arthropoda,no
I6S3A5,Other,Arthropoda,no
I6RU51,Other,Arthropoda,no
P0DPU7,Other,Arthropoda,no
I6RA76,Other,Arthropoda,no
I6S7I0,Other,Arthropoda,no
I6R1S4,Other,Arthropoda,no
I6S3A9,Other,Arthropoda,no
P0DMD3,Other,Arthropoda,no
V9ISX2,Other,Arthropoda,no
V9ISG0,Other,Arthropoda,no
P0DMD4,Other,Arthropoda,no
P0DX55,,Arthropoda,no
E2E4L2,Other,Chordata,no
Q9NJC5,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q9BKJ0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P01494,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HMC0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P01487,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P15227,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P15225,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P56608,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
Q1I177,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P0DSO4,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HLM1,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P60213,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P01496,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0C8X5,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
A0A7S8MU78,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
E7CLN2,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
E7CLN9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,yes
P0DMH9,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
D5HR53,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P0DQH6,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P45658,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
M1JBC0,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
C0HLU0,Other,Arthropoda,no
I1VC85,Other,Arthropoda,no
Q7YWB0,Other,Arthropoda,no
A0A0K1YW63,Other,Arthropoda,no
P02852,Other,Arthropoda,no
Q7YWA6,Other,Arthropoda,no
A0A6M6RE84,Other,Arthropoda,no
Q7YWA9,Other,Arthropoda,no
Q7YWA7,Other,Arthropoda,no
Q7YWA8,Other,Arthropoda,no
P81116,Other,Chordata,no
P0CV88,Other,Chordata,yes
Q7LZK8,Other,Chordata,no
P0DJC9,Other,Chordata,yes
P0C930,Other,Chordata,no
O93427,Other,Chordata,no
P81509,Other,Chordata,no
P0DJL5,Other,Chordata,no
Q7T247,Other,Chordata,no
P81996,Other,Chordata,no
Q7T2Q0,Other,Chordata,no
Q9YI92,Other,Chordata,no
Q9YGN4,Other,Chordata,no
Q9DG31,Other,Chordata,no
Q6TPH0,Other,Chordata,no
Q6TPG9,Other,Chordata,no
P86718,Other,Arthropoda,no
P86719,Other,Arthropoda,no
P0C8C8,Other,Arthropoda,yes
P0C8C9,Other,Arthropoda,yes
P0C8D1,Other,Arthropoda,yes
P0C8D0,Other,Arthropoda,yes
P0C8D2,Other,Arthropoda,yes
P0C8D3,Other,Arthropoda,yes
P0C5J8,,Arthropoda,yes
P0DN56,Other,Mollusca,no
P0DN48,,Mollusca,no
P0DN49,Other,Mollusca,no
P0DN50,Other,Mollusca,no
P0DXA0,Other,Arthropoda,no
Q5D231,Other,Arthropoda,no
Q5D230,Other,Arthropoda,yes
Q5D228,Other,Arthropoda,yes
Q5D229,Other,Arthropoda,yes
Q5D232,Other,Arthropoda,no
J3SFJ3,Other,Chordata,no
T1DKS4,Other,Chordata,no
A0A1D0BND9,Venom Kunitz-type family,Arthropoda,no
P0CI07,,Mollusca,no
P56587,,Arthropoda,no
P82228,Other,Arthropoda,no
S0F1P1,Other,Arthropoda,no
S0F1M9,Other,Arthropoda,no
P86299,Other,Arthropoda,no
P85880,,Arthropoda,no
P86300,Other,Arthropoda,no
P86301,Other,Arthropoda,no
P84465,,Arthropoda,no
P84464,,Arthropoda,no
P0C294,Other,Arthropoda,no
P60979,,Arthropoda,no
P83894,Other,Arthropoda,no
B6DCM9,Other,Arthropoda,no
B6DCN0,Other,Arthropoda,no
B6DCN1,Other,Arthropoda,no
B6DCN2,Other,Arthropoda,no
B6DCN3,Other,Arthropoda,no
B6DCN4,Other,Arthropoda,no
B6DCN5,Other,Arthropoda,no
B6DCN6,Other,Arthropoda,no
B6DCN7,Other,Arthropoda,no
B6DCN8,Other,Arthropoda,no
P0DPU9,Other,Arthropoda,no
A0A348G5W0,Other,Arthropoda,no
P0DPU3,,Arthropoda,no
A0A6M3Z4E7,,Arthropoda,no
P0DSJ7,Other,Arthropoda,no
P0DPU6,Other,Arthropoda,yes
P0DUC0,Other,Arthropoda,no
C0HL38,,Arthropoda,no
P0DXZ4,,Arthropoda,no
P0DSL1,Other,Arthropoda,no
P0DSL2,Other,Arthropoda,no
C0HKG8,Other,Arthropoda,no
P0DSL3,Other,Arthropoda,no
P0DOC5,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P0DUC2,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
P84063,Other,Arthropoda,yes
C0HKG9,Other,Arthropoda,no
C0HJK1,,Arthropoda,no
P61509,Other,Arthropoda,no
P61510,Other,Arthropoda,no
P0DX56,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P83108,,Arthropoda,no
A0A0N7CSQ4,Other,Arthropoda,no
A0A023W082,Other,Arthropoda,no
P0DPV4,Other,Arthropoda,no
A0A023VZM6,Other,Arthropoda,no
A0A023W0U0,Other,Arthropoda,no
A0A023W090,Other,Arthropoda,no
A0A023VZF1,Other,Arthropoda,yes
P0DPX2,Other,Arthropoda,no
P0DPX1,Other,Arthropoda,no
P0DPX3,Other,Arthropoda,no
P0DPX4,Other,Arthropoda,no
P0DRC9,Other,Arthropoda,no
P56854,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
C0HKG4,Other,Arthropoda,yes
P0CF02,,Arthropoda,no
C0HJH7,,Arthropoda,no
P0DV62,Other,Arthropoda,no
P0DRD3,Other,Arthropoda,no
P0DXT8,Other,Arthropoda,no
P0DSI4,Other,Arthropoda,no
P15967,Other,Arthropoda,no
B3EWT5,Other,Arthropoda,no
B3EWT6,Other,Arthropoda,no
B3EWT7,Other,Arthropoda,no
B3EWT8,Other,Arthropoda,no
B3EWT9,Other,Arthropoda,no
B3EWU0,Other,Arthropoda,no
B3EWV1,Other,Arthropoda,no
B3EWV2,Other,Arthropoda,no
B3EWV3,Other,Arthropoda,no
B3EWV4,Other,Arthropoda,no
B3EWV6,Other,Arthropoda,no
B3EWV7,Other,Arthropoda,no
B3EWU9,Other,Arthropoda,no
P84015,Other,Arthropoda,no
B3EWW5,Other,Arthropoda,no
B3EWW6,Other,Arthropoda,no
B3EWW7,Other,Arthropoda,no
B3EWW8,Other,Arthropoda,no
B3EWW9,Other,Arthropoda,no
O46167,Other,Arthropoda,no
O46168,Other,Arthropoda,no
P49126,Other,Arthropoda,no
B6DD56,Other,Arthropoda,no
B6DD57,Other,Arthropoda,no
B6DD58,Other,Arthropoda,no
P0DQE9,Other,Arthropoda,no
P0DQE8,Other,Arthropoda,yes
P61791,Neurotoxin 10 (Hwtx-1) family,Arthropoda,no
B6DD60,Other,Arthropoda,no
B6DD61,Other,Arthropoda,no
B6DD62,Other,Arthropoda,no
B6DCY1,Other,Arthropoda,no
P0DQF0,Other,Arthropoda,no
P0DQF1,Other,Arthropoda,no
P0DQF2,Other,Arthropoda,no
B3FIP1,Other,Arthropoda,no
B3FIP2,Other,Arthropoda,no
B1P1J5,Other,Arthropoda,no
Q2L6Z1,Other,Arthropoda,no
Q2XXR8,Other,Chordata,no
Q2XXR7,Other,Chordata,no
Q8T3S7,Venom Kunitz-type family,Arthropoda,no
B5KL38,Venom Kunitz-type family,Chordata,no
Q6T6T5,Venom Kunitz-type family,Chordata,no
B5KF95,Venom Kunitz-type family,Chordata,no
Q2ES50,Venom Kunitz-type family,Chordata,no
A6MFL1,Venom Kunitz-type family,Chordata,no
B5KF94,Venom Kunitz-type family,Chordata,no
Q6ITB3,Venom Kunitz-type family,Chordata,no
Q6ITB5,Venom Kunitz-type family,Chordata,no
Q6ITB7,Venom Kunitz-type family,Chordata,no
A7X3V7,Venom Kunitz-type family,Chordata,no
E7FL11,Venom Kunitz-type family,Chordata,no
Q90WA1,Venom Kunitz-type family,Chordata,no
A7X3V4,Venom Kunitz-type family,Chordata,no
W4VSH9,Venom Kunitz-type family,Arthropoda,no
B5L5R7,Venom Kunitz-type family,Chordata,no
P00986,Venom Kunitz-type family,Chordata,no
Q6ITB2,Venom Kunitz-type family,Chordata,no
Q6ITB4,Venom Kunitz-type family,Chordata,no
Q6ITB6,Venom Kunitz-type family,Chordata,no
Q8T0W4,Venom Kunitz-type family,Arthropoda,no
Q6ITC0,Venom Kunitz-type family,Chordata,no
B5G6G6,Venom Kunitz-type family,Chordata,no
E7FL12,Venom Kunitz-type family,Chordata,no
Q90WA0,Venom Kunitz-type family,Chordata,no
B5KL33,Venom Kunitz-type family,Chordata,no
C1IC52,Venom Kunitz-type family,Chordata,no
P0DJ64,Venom Kunitz-type family,Arthropoda,no
P0DJ50,Venom Kunitz-type family,Arthropoda,no
B2ZBB8,Venom Kunitz-type family,Arthropoda,no
P0DJ67,Venom Kunitz-type family,Arthropoda,no
C0LNR2,Venom Kunitz-type family,Arthropoda,no
E5AJX3,Venom Kunitz-type family,Chordata,no
P0DKL8,Venom Kunitz-type family,Chordata,no
J3SDW6,Venom metalloproteinase (M12B) family,Chordata,no
C5H5D3,Venom metalloproteinase (M12B) family,Chordata,yes
C5H5D6,Venom metalloproteinase (M12B) family,Chordata,no
C5H5D4,Venom metalloproteinase (M12B) family,Chordata,yes
J3S830,Venom metalloproteinase (M12B) family,Chordata,no
F8S108,Venom metalloproteinase (M12B) family,Chordata,no
F8RKW1,Venom metalloproteinase (M12B) family,Chordata,no
Q8QG88,Venom metalloproteinase (M12B) family,Chordata,no
J3SDW8,Venom metalloproteinase (M12B) family,Chordata,no
F8RKW0,Venom metalloproteinase (M12B) family,Chordata,no
F8RKV9,Venom metalloproteinase (M12B) family,Chordata,no
A2TK72,Venom metalloproteinase (M12B) family,Chordata,yes
Q92043,Venom metalloproteinase (M12B) family,Chordata,yes
O42138,Venom metalloproteinase (M12B) family,Chordata,no
Q9W6M5,Venom metalloproteinase (M12B) family,Chordata,no
P0DJJ1,Venom metalloproteinase (M12B) family,Chordata,yes
Q1PS45,Venom metalloproteinase (M12B) family,Chordata,no
P0DJH4,Venom metalloproteinase (M12B) family,Chordata,yes
P0DJH2,Venom metalloproteinase (M12B) family,Chordata,yes
P0C6R9,Venom metalloproteinase (M12B) family,Chordata,yes
A0A0B4U9L8,Venom metalloproteinase (M12B) family,Chordata,no
R4NNL0,Venom metalloproteinase (M12B) family,Chordata,no
V5TBK6,Venom metalloproteinase (M12B) family,Chordata,no
A0A6B7FMR5,Venom metalloproteinase (M12B) family,Chordata,no
P86341,,Arthropoda,yes
C6ZH25,,Arthropoda,no
C7DT09,Other,Arthropoda,no
P85875,,Arthropoda,no
P0CJ07,,Arthropoda,no
P0CJ11,Other,Arthropoda,no
P0CJ12,,Arthropoda,no
P86343,,Arthropoda,yes
P86338,,Arthropoda,yes
P0CJ03,,Arthropoda,no
P86166,,Mollusca,no
P09872,Peptidase S1 family,Chordata,no
E5L0E6,Peptidase S1 family,Chordata,no
P80899,Peptidase S1 family,Chordata,yes
P18692,Peptidase S1 family,Chordata,yes
F8S114,Peptidase S1 family,Chordata,no
O13062,Peptidase S1 family,Chordata,no
J3RY93,Peptidase S1 family,Chordata,no
P0DJF6,Peptidase S1 family,Chordata,no
P0DJE8,Peptidase S1 family,Chordata,yes
J3SBQ3,Peptidase S1 family,Chordata,no
Q7SZE2,Peptidase S1 family,Chordata,no
Q7LZF6,Peptidase S1 family,Chordata,yes
O42207,Peptidase S1 family,Chordata,no
J3SDW9,Peptidase S1 family,Chordata,no
P26324,Peptidase S1 family,Chordata,no
P47797,Peptidase S1 family,Chordata,no
Q9PT41,Peptidase S1 family,Chordata,no
P04971,Peptidase S1 family,Chordata,no
Q9PS28,Peptidase S1 family,Chordata,yes
Q9PRP4,Peptidase S1 family,Chordata,yes
C0HKQ6,Other,Arthropoda,no
P0DQX7,Other,Arthropoda,no
P0DQX8,Other,Arthropoda,no
P0C603,Snake three-finger toxin family,Chordata,yes
A0S864,Snake three-finger toxin family,Chordata,no
A0A346CIA0,Snake three-finger toxin family,Chordata,no
A0S865,Snake three-finger toxin family,Chordata,no
P83490,Snake three-finger toxin family,Chordata,no
A0A346CIB3,Snake three-finger toxin family,Chordata,no
Q06ZW0,Snake three-finger toxin family,Chordata,no
C0HJD3,Snake three-finger toxin family,Chordata,no
Q8AY51,Snake three-finger toxin family,Chordata,no
Q9YGI2,Snake three-finger toxin family,Chordata,no
C0HJW9,Snake three-finger toxin family,Chordata,yes
Q8AY50,Snake three-finger toxin family,Chordata,no
C6JUP2,Snake three-finger toxin family,Chordata,no
Q9YGI4,Snake three-finger toxin family,Chordata,no
Q8AY49,Snake three-finger toxin family,Chordata,no
Q9YGI1,Snake three-finger toxin family,Chordata,no
Q6IZ95,Snake three-finger toxin family,Chordata,no
Q2VBN2,Snake three-finger toxin family,Chordata,no
P29179,Snake three-finger toxin family,Chordata,no
O42255,Snake three-finger toxin family,Chordata,no
P59275,Snake three-finger toxin family,Chordata,no
P60770,Snake three-finger toxin family,Chordata,no
P60771,Snake three-finger toxin family,Chordata,no
Q9PTT0,Snake three-finger toxin family,Chordata,no
P80958,Snake three-finger toxin family,Chordata,no
P10455,Snake three-finger toxin family,Chordata,no
P10458,Snake three-finger toxin family,Chordata,no
P10460,Snake three-finger toxin family,Chordata,no
P59276,Snake three-finger toxin family,Chordata,no
P0CAR1,Snake three-finger toxin family,Chordata,no
P10456,Snake three-finger toxin family,Chordata,no
P0CAR3,Snake three-finger toxin family,Chordata,yes
P0CAR5,Snake three-finger toxin family,Chordata,yes
P60775,Snake three-finger toxin family,Chordata,no
Q90VW1,Snake three-finger toxin family,Chordata,no
Q7T2I5,Snake three-finger toxin family,Chordata,no
Q9YGX1,Snake three-finger toxin family,Chordata,no
P0C555,Snake three-finger toxin family,Chordata,no
Q9W7K2,Snake three-finger toxin family,Chordata,no
Q9W7K1,Snake three-finger toxin family,Chordata,no
C0HK04,Snake three-finger toxin family,Chordata,no
C6JUP1,Snake three-finger toxin family,Chordata,no
C0HLK5,Snake three-finger toxin family,Chordata,no
B3EWF8,Snake three-finger toxin family,Chordata,no
Q9PRQ2,Snake three-finger toxin family,Chordata,yes
P83302,Snake three-finger toxin family,Chordata,no
P0DKS3,Snake three-finger toxin family,Chordata,no
P86421,Snake three-finger toxin family,Chordata,no
K9MCX0,Snake three-finger toxin family,Chordata,no
A0A2P1BSS9,Snake three-finger toxin family,Chordata,no
Q53B50,Snake three-finger toxin family,Chordata,no
C0HJB0,Snake three-finger toxin family,Chordata,no
F5CPE2,Snake three-finger toxin family,Chordata,no
C6JUP3,Snake three-finger toxin family,Chordata,no
A0A2P1BSU3,Snake three-finger toxin family,Chordata,no
Q9PRQ3,Snake three-finger toxin family,Chordata,yes
Q2VBN3,Snake three-finger toxin family,Chordata,no
A8HDK2,Snake three-finger toxin family,Chordata,no
F5CPD3,Snake three-finger toxin family,Chordata,no
A0A2P1BSS8,Snake three-finger toxin family,Chordata,no
C0JAT4,Arthropod phospholipase D family,Arthropoda,yes
P0CE78,Arthropod phospholipase D family,Arthropoda,no
C0JAT9,Arthropod phospholipase D family,Arthropoda,yes
C0JB30,Arthropod phospholipase D family,Arthropoda,yes
A0A8B0RBM2,Other,Arthropoda,no
Q92035,Other,Chordata,no
P0CH49,,Arthropoda,no
P0CF37,Long (4 C-C) scorpion toxin superfamily,Arthropoda,no
P85843,Other,Arthropoda,yes
C0JB94,Arthropod phospholipase D family,Arthropoda,yes
C0JB92,Arthropod phospholipase D family,Arthropoda,yes
C0JB93,Arthropod phospholipase D family,Arthropoda,yes
P12797,Other,Arthropoda,no
P42717,Other,Arthropoda,no
P85873,Other,Arthropoda,no
C0HLT7,Other,Arthropoda,no
Q7M3T3,Other,Arthropoda,no
P57672,Other,Arthropoda,no
Q7M3T2,Other,Arthropoda,no
P0CY87,Other,Mollusca,no
H9N3R7,Other,Mollusca,yes
P0CY75,Other,Mollusca,no
P0CAQ4,Other,Mollusca,no
Q6PTD7,Other,Mollusca,no
P0CAQ5,Other,Mollusca,no
Q6PPB3,Other,Mollusca,no
A1X8C6,Other,Mollusca,yes
P0CB07,Other,Mollusca,no
P0CE73,Other,Mollusca,no
P0CY86,Other,Mollusca,no
P0C1V9,Other,Mollusca,no
Q6PTD5,Other,Mollusca,no
A0A3G3C7S0,Other,Mollusca,no
P0C8U9,Other,Mollusca,no
A1X8D0,Other,Mollusca,yes
D9IWN7,Other,Mollusca,no
P0CAQ6,Other,Mollusca,no
P0CAQ7,Other,Mollusca,yes
A0A3G3C7U1,Other,Mollusca,no
F2XFS9,Other,Mollusca,no
P0C8V0,Other,Mollusca,no
A1X8D1,Other,Mollusca,yes
P0DUQ6,Other,Mollusca,no
Q3SB08,Other,Chordata,no
Q3SB13,Other,Chordata,no
Q3SB11,Other,Chordata,no
A0A0E3SVE7,Other,Mollusca,no
A0A0E3SVB8,Other,Mollusca,no
Q7YZS9,Other,Mollusca,no
P0C8S6,,Mollusca,no
P0C260,,Mollusca,no
P84713,,Mollusca,no
P0CH39,Other,Mollusca,no
Q9TWL9,Phospholipase A2 family,Mollusca,no
B2KPN7,Other,Mollusca,no
B3SVF1,Other,Mollusca,no
B3SVF0,Other,Mollusca,no
P17236,Other,Arthropoda,no
P17231,Other,Arthropoda,no
P17234,Other,Arthropoda,no
Q7T1K6,Other,Chordata,no
P84805,Other,Chordata,no
P86543,Other,Chordata,yes
Q2XXQ3,Other,Chordata,no
Q2XXR4,Other,Chordata,yes
P81992,Other,Chordata,yes
Q2XXQ5,Other,Chordata,no
Q8UW11,Other,Chordata,no
Q7ZZN8,Other,Chordata,no
P84808,Other,Chordata,no
